                   x                    y
                   0    0.997197136340883
                   1    0.991449339230516
                   2    0.971935160774313
                   3    0.977253638530347
                   4    0.927575307982075
                   5    0.913016413777827
                   6    0.859743755210241
                   7    0.845727609450987
                   8    0.859361269451734
                   9    0.777453305909785
                  10    0.773644723726274
                  11    0.797001087316606
                  12    0.709775550700744
                  13    0.637877007632538
                  14    0.676102273234633
                  15    0.695103525971838
                  16    0.614880647885378
                  17    0.461366095553679
                  18    0.293283071027227
                  19    0.156864794284791
                  20   0.0698536133429605
                  21   0.0254584560802094
                  22  0.00712106504334336
                  23  0.00126914298422489
                  24 0.000899129954872915
                  25 0.000770837321071451
                  26 0.000469751396489821
                  27 0.000239612382162229
                  28 0.000108526946941402
                  29 4.48004980852187e-05
                  30 1.70736727479294e-05
                  31 6.04205024979851e-06
                  32 1.98642158266809e-06
                  33 6.03416484578099e-07
                  34 1.66790894051478e-07
                  35 4.03978231221169e-08
                  36 7.69018572746927e-09
                  37 7.90116472271719e-10
                  38 5.70428490383784e-10
                  39 3.87518359349524e-10
                  40 1.91587556807335e-10
                  41 8.15433609110439e-11
                  42 3.06407234028963e-11
                  43 1.38039082671239e-11
                  44   9.122309808095e-12
                  45 4.83209536009506e-12
                  46 2.26426646507292e-12
                  47 1.36548565723595e-13
                  48 1.86605969956188e-14
                  49 3.03815878613628e-15
                  50 5.37982793891053e-16
                  51 1.00308267096236e-16
                  52 1.05663164201903e-17
                  53 4.11293608585941e-19
                  54                    0
                  55                    0
                  56                    0
                  57                    0
                  58                    0
                  59                    0
