                   x                    y
                   0    0.992213895354208
                   1    0.981770839033373
                   2    0.964073800073659
                   3     0.90641436299434
                   4    0.922722280091789
                   5    0.841196382713377
                   6    0.840823052037628
                   7    0.850395600592571
                   8    0.737387315601266
                   9    0.700035045737506
                  10    0.755333541146838
                  11    0.722001000036629
                  12    0.571141724376171
                  13    0.374753331689957
                  14    0.204967305553469
                  15   0.0939834088047469
                  16   0.0366145219037347
                  17   0.0122383884729665
                  18   0.0034089635761039
                  19 0.000687636701686212
                  20 9.17878579523567e-05
                  21 9.73869574402604e-05
                  22 6.02091084978322e-05
                  23 2.76200922091845e-05
                  24 1.07008159844648e-05
                  25 3.65742712067758e-06
                  26 1.11920801512579e-06
                  27 3.05831611925003e-07
                  28 7.28066107414387e-08
                  29 1.39458392957675e-08
                  30    1.56147357579e-09
                  31 5.39685391830163e-10
                  32 3.93510010691867e-10
                  33 1.81406143613508e-10
                  34 7.11182609434793e-11
                  35 2.57837959596111e-11
                  36 8.43639531643101e-12
                  37 2.88915502946052e-12
                  38 2.00376993377507e-12
                  39 1.36217261818813e-12
                  40 1.27876806901491e-13
                  41 1.10024933714929e-14
                  42 1.40883333560166e-15
                  43 2.06056253312244e-16
                  44 2.61933005833333e-17
                  45 6.14807179237313e-19
                  46                    0
                  47                    0
                  48                    0
                  49                    0
                  50                    0
                  51                    0
                  52                    0
                  53                    0
                  54                    0
                  55                    0
                  56                    0
                  57                    0
                  58                    0
                  59                    0
